¥i§ë¸ê,¤½¥q¥N½X,¶}½L»ù,³Ì°ª»ù,³Ì§C»ù,¦¬½L»ù,º¦¶^,¥»¯q¤ñ,¦¨¥æ¶q,¦P·~¥­§¡¥»¯q¤ñ,´Þ§Q²v,Á`¥«­È,¤µ¦~¥H¨Ó,¨CªÑ²b­È(¤¸),¨©¥L­È,¨C¤HÀç¦¬(¥a¤¸),¼Ð·Ç®t,¨CªÑÀç¦¬(¤¸),­t¶Å¤ñ¨Ò,ªÑ»ù²b­È¤ñ,"ªÑ¥»(»õ, ¥x¹ô)",Àç·~¤ò§Q²v,²{ª÷ªÑ§Q(¤¸),Àç·~§Q¯q²v,µ|«e²b§Q²v,¸ê²£³ø¹S²v,ªÑªFÅv¯q³ø¹S²v
§_,3712,17.85,19.45,17.85,18.65,0.8,30.41,1025,16.63,0.0,4592,0.0,0.0,0.99,0,0.0,0.0,0.0,0.0,24.62,0.0,0.0,0.0,0.0,0.0,0.0
§_,910708,2375.0,2375.0,2375.0,2375.0,-85.0,0.0,0,0.0,0.0,1480,282.45,0.55,1.7,7790,3.62,0.61,89.82,4318.18,0.01,48.24,0.0,35.26,34.5,2.49,21.56
§_,9105,2.44,2.45,2.44,2.44,0.0,0.0,598,0.0,0.0,2048,-13.78,3.61,1.7,1055,1.09,5.29,70.17,0.68,8.39,4.83,0.0551,0.88,0.52,0.39,0.49
§_,911608,1.51,1.61,1.48,1.61,-0.01,0.0,21,0.0,0.0,18,-22.97,6.1,1.75,0,4.18,1.73,60.22,0.26,0.11,34.85,0.0,-33.64,-14.94,-1.73,-4.75
§_,911619,1.05,1.05,1.05,1.05,0.0,0.0,0,0.0,0.0,46,12.9,2.13,1.8,0,4.38,0.58,80.94,0.49,0.44,43.45,0.0,8.8,6.23,0.32,0.65
§_,911622,6.1,6.1,6.1,6.1,0.0,0.0,5,0.0,0.0,183,4.27,8.32,1.8,2273,3.26,3.06,33.42,0.73,0.3,6.53,0.0,2.1,0.58,0.21,0.04
§_,911868,1.22,1.22,1.16,1.2,-0.02,0.0,12,0.0,0.0,109,-18.92,3.18,1.81,1273,2.68,0.73,26.38,0.38,0.91,39.76,0.0,4.33,11.81,2.2,2.57
§_,912398,6.8,6.8,6.8,6.8,0.0,0.0,0,0.0,0.0,272,-9.69,9.18,1.82,2069,1.74,6.36,61.78,0.74,0.4,26.69,0.2244672,5.27,5.4,1.21,2.43
§_,9136,7.26,7.26,7.14,7.15,-0.05,0.0,99,0.0,0.0,1143,-24.26,21.2,1.84,479,2.54,13.34,44.23,0.34,1.6,6.6,0.3008,-3.62,-3.16,-0.61,-1.82
§_,9188,4.5,4.5,4.5,4.5,0.03,0.0,4,0.0,0.0,229,1.12,3.77,1.9,489,1.27,1.26,25.33,1.19,0.51,25.44,0.137095,7.1,10.9,2.33,2.97
§_,3040,31.1,31.8,30.7,31.2,0.2,19.41,21,30.42,28.85,1966,-22.47,21.76,0.85,1343,2.12,0.79,11.55,1.43,6.3,60.24,9.0,41.96,72.0,1.53,2.01
§_,1463,13.05,13.05,12.85,13.0,-0.05,8.06,118,30.13,23.08,2252,-38.53,13.8,0.31,0,1.65,1.18,11.01,0.94,17.33,29.57,3.0,15.67,31.47,2.09,2.58
§_,4989,17.7,18.15,17.4,18.05,0.35,60.83,327,14.82,17.73,2763,0.0,14.73,1.07,4175,0.0,5.56,15.42,1.23,15.31,14.56,3.2008361,10.55,10.29,2.43,3.15
§_,6177,26.0,26.0,25.7,25.85,-0.15,0.0,82,30.3,17.08,6308,-15.11,14.85,1.21,1839,1.59,1.01,80.71,1.74,24.4,30.26,4.4152999,-4.94,-13.68,-0.07,-0.99
§_,1235,28.8,28.8,27.6,27.75,-1.05,5.04,39,22.54,16.22,2441,7.43,93.65,0.12,748,1.62,0.43,22.68,0.3,8.8,74.2,0.0,55.98,339.99,1.84,2.31
§_,1313,11.3,11.45,11.25,11.25,-0.05,6.17,1909,20.15,16.0,14557,-32.15,16.34,0.18,7748,1.9,10.98,56.79,0.69,129.39,5.21,1.0,1.87,2.08,0.82,1.37
§_,2534,26.9,27.4,26.65,27.4,0.1,14.18,2838,30.3,14.6,20303,35.11,18.81,0.68,0,1.65,1.27,54.97,1.46,74.1,39.53,2.0,27.46,29.94,0.97,1.99
§_,3432,14.35,14.5,14.15,14.25,0.1,24.06,101,14.82,14.04,949,38.89,22.55,0.9,512,2.99,0.45,20.44,0.63,6.66,24.32,2.0,-13.39,117.87,1.57,1.93
§_,1316,16.85,16.95,16.8,16.9,0.05,6.37,706,22.47,13.39,2180,-31.16,14.14,0.18,1391,2.06,1.74,47.06,1.2,12.9,19.25,2.2630251,-14.99,47.01,1.98,3.49
§_,9906,8.85,8.85,8.65,8.8,0.0,0.0,89,30.3,13.38,733,-38.5,10.77,2.0,0,2.35,0.6,84.18,0.82,8.33,35.34,0.0,-9.33,-15.87,-0.09,-0.86
